,0
0,2731.828125
1,2942.36865234375
2,2512.691162109375
3,2546.4326171875
4,2375.3935546875
5,2774.730712890625
6,2654.406982421875
7,2585.515380859375
8,2621.996826171875
9,2491.731689453125
10,2352.47314453125
11,2470.01806640625
12,2610.630126953125
13,2523.597900390625
14,2225.83349609375
15,2541.762939453125
16,2454.2802734375
17,2369.41357421875
18,2502.7236328125
19,2345.523193359375
20,2610.66943359375
21,2118.8115234375
22,2302.07080078125
23,2405.142822265625
24,2470.581298828125
25,2473.323486328125
26,2198.110107421875
27,2854.9267578125
28,2152.737548828125
29,2316.716064453125
30,2138.38525390625
31,2185.423095703125
32,2426.04052734375
33,2206.774169921875
34,2139.611328125
35,2380.385498046875
36,2196.48974609375
37,2403.2626953125
38,2221.01171875
39,2059.864990234375
40,2201.143798828125
41,2249.9189453125
42,1967.466796875
43,1952.4720458984375
44,2028.5478515625
45,2029.201171875
46,2198.795166015625
47,1935.21875
48,2047.667236328125
49,2120.48095703125
50,2084.37060546875
51,1955.1920166015625
52,1891.87939453125
53,1991.6920166015625
54,2191.4375
55,2135.0546875
56,1922.175048828125
57,2162.40380859375
58,1912.3509521484375
59,1899.40380859375
60,1932.4923095703125
61,2069.048828125
62,1909.55078125
63,1810.2874755859375
64,1797.528076171875
65,2050.035400390625
66,1844.1611328125
67,1807.1678466796875
68,1840.2325439453125
69,1837.6790771484375
70,1813.36083984375
71,1894.8441162109375
72,1771.8673095703125
73,1929.3704833984375
74,1939.6539306640625
75,1972.395751953125
76,1773.5955810546875
77,1579.8756103515625
78,1922.9608154296875
79,1728.70556640625
80,1762.4197998046875
81,1933.774658203125
82,1774.6741943359375
83,1773.259033203125
84,1678.8955078125
85,1826.1287841796875
86,1830.3126220703125
87,1717.7987060546875
88,1822.5125732421875
89,1921.3623046875
90,1702.8951416015625
91,1767.3126220703125
92,1739.468017578125
93,1573.6363525390625
94,1830.5732421875
95,1718.03076171875
96,1961.51708984375
97,1692.6767578125
98,1769.84228515625
99,1800.04638671875
100,1708.796875
101,1737.489990234375
102,1682.4293212890625
103,1671.9698486328125
104,1981.2125244140625
105,1702.4727783203125
106,1614.519287109375
107,1873.2335205078125
108,1647.92724609375
109,1670.06396484375
110,1625.4776611328125
111,1919.726806640625
112,1903.783447265625
113,1738.4725341796875
114,1525.6302490234375
115,1709.8057861328125
116,1631.0762939453125
117,1690.9813232421875
118,1669.248291015625
119,1619.6295166015625
120,1604.3807373046875
121,1660.1060791015625
122,1761.796630859375
123,1546.9908447265625
124,1627.8275146484375
125,1493.2530517578125
126,1582.9833984375
127,1707.5992431640625
128,1702.677734375
129,1544.6055908203125
130,1510.492919921875
131,1514.1849365234375
132,1544.774658203125
133,1662.950439453125
134,1827.592529296875
135,1499.9779052734375
136,1490.1859130859375
137,1551.1363525390625
138,1554.215576171875
139,1602.387451171875
140,1446.47412109375
141,1442.4044189453125
142,1465.9486083984375
143,1460.3695068359375
144,1584.2275390625
145,1353.890380859375
146,1579.392578125
147,1501.259033203125
148,1502.40771484375
149,1502.009765625
150,1352.2740478515625
151,1446.5806884765625
152,1306.6484375
153,1460.086181640625
154,1497.737060546875
155,1533.302001953125
156,1443.6876220703125
157,1384.474609375
158,1487.4453125
159,1448.5325927734375
160,1491.546875
161,1338.7877197265625
162,1467.8643798828125
163,1422.408203125
164,1569.570068359375
165,1326.1114501953125
166,1314.8836669921875
167,1362.8909912109375
168,1341.713623046875
169,1387.593994140625
170,1258.61572265625
171,1354.5579833984375
172,1311.8736572265625
173,1322.041015625
174,1422.525146484375
175,1277.6065673828125
176,1315.2340087890625
177,1327.4541015625
178,1261.3111572265625
179,1381.0701904296875
180,1335.123291015625
181,1335.3927001953125
182,1328.8819580078125
183,1329.7864990234375
184,1502.848876953125
185,1624.093505859375
186,1347.3966064453125
187,1368.655029296875
188,1389.441162109375
189,1417.68310546875
190,1314.0252685546875
191,1385.2283935546875
192,1340.8814697265625
193,1311.28125
194,1495.07421875
195,1454.753173828125
196,1454.16845703125
197,1314.83349609375
198,1284.7926025390625
199,1364.2325439453125
200,1233.88134765625
201,1248.8857421875
202,1325.6602783203125
203,1356.216552734375
204,1252.8035888671875
205,1212.28515625
206,1281.30859375
207,1153.297119140625
208,1185.0556640625
209,1273.3453369140625
210,1326.0107421875
211,1218.9617919921875
212,1275.1282958984375
213,1230.479248046875
214,1294.5169677734375
215,1316.701904296875
216,1372.7298583984375
217,1281.7274169921875
218,1212.744384765625
219,1261.790283203125
220,1307.7984619140625
221,1399.27197265625
222,1389.4010009765625
223,1293.0743408203125
224,1259.4814453125
225,1261.2105712890625
226,1205.986328125
227,1178.147216796875
228,1256.7796630859375
229,1257.1865234375
230,1211.09814453125
231,1163.0302734375
232,1219.1978759765625
233,1207.21044921875
234,1297.020751953125
235,1254.9298095703125
236,1171.601806640625
237,1288.38427734375
238,1188.6829833984375
239,1256.157958984375
240,1435.25244140625
241,1131.084228515625
242,1120.2196044921875
243,1089.8092041015625
