,0
0,2732.678955078125
1,2943.234619140625
2,2513.606201171875
3,2547.26611328125
4,2376.254638671875
5,2775.586669921875
6,2655.173583984375
7,2586.373291015625
8,2622.9091796875
9,2492.5185546875
10,2353.27099609375
11,2470.87548828125
12,2611.425048828125
13,2524.489013671875
14,2226.639404296875
15,2542.59228515625
16,2455.08642578125
17,2370.210205078125
18,2503.53759765625
19,2346.3369140625
20,2611.50732421875
21,2119.594482421875
22,2302.85498046875
23,2405.9404296875
24,2471.378173828125
25,2474.05078125
26,2198.916748046875
27,2855.71337890625
28,2153.5048828125
29,2317.473876953125
30,2139.140625
31,2186.19580078125
32,2426.794677734375
33,2207.53564453125
34,2140.3798828125
35,2381.125244140625
36,2197.22802734375
37,2404.001708984375
38,2221.745849609375
39,2060.6728515625
40,2201.876220703125
41,2250.695556640625
42,1968.22119140625
43,1953.1884765625
44,2029.2998046875
45,2029.963623046875
46,2199.54150390625
47,1935.9283447265625
48,2048.3818359375
49,2121.17529296875
50,2085.102783203125
51,1955.9312744140625
52,1892.57080078125
53,1992.3997802734375
54,2192.123291015625
55,2135.727783203125
56,1922.859375
57,2163.105224609375
58,1913.065185546875
59,1900.054443359375
60,1933.253662109375
61,2069.732421875
62,1910.27099609375
63,1810.972900390625
64,1798.2030029296875
65,2050.690673828125
66,1844.8145751953125
67,1807.8267822265625
68,1840.8653564453125
69,1838.33984375
70,1814.0186767578125
71,1895.4525146484375
72,1772.52001953125
73,1930.0103759765625
74,1940.310791015625
75,1973.016357421875
76,1774.2264404296875
77,1580.5482177734375
78,1923.6021728515625
79,1729.3458251953125
80,1763.03125
81,1934.3756103515625
82,1775.2950439453125
83,1773.866943359375
84,1679.504638671875
85,1826.721435546875
86,1830.9404296875
87,1718.3677978515625
88,1823.078125
89,1921.950439453125
90,1703.44384765625
91,1767.927978515625
92,1740.050537109375
93,1574.3038330078125
94,1831.182373046875
95,1718.63330078125
96,1962.082275390625
97,1693.229736328125
98,1770.3970947265625
99,1800.6138916015625
100,1709.3424072265625
101,1738.06591796875
102,1682.9671630859375
103,1672.5040283203125
104,1981.7353515625
105,1703.004150390625
106,1615.09228515625
107,1873.7596435546875
108,1648.4981689453125
109,1670.6102294921875
110,1625.9566650390625
111,1920.2451171875
112,1904.4068603515625
113,1738.9517822265625
114,1526.2108154296875
115,1710.3345947265625
116,1631.551025390625
117,1691.49560546875
118,1669.7198486328125
119,1620.1484375
120,1604.9371337890625
121,1660.5672607421875
122,1762.296142578125
123,1547.449462890625
124,1628.272705078125
125,1493.7432861328125
126,1583.420654296875
127,1708.1363525390625
128,1703.1617431640625
129,1545.055419921875
130,1510.8853759765625
131,1514.6529541015625
132,1545.1956787109375
133,1663.3607177734375
134,1828.0855712890625
135,1500.4141845703125
136,1490.6021728515625
137,1551.6090087890625
138,1554.5267333984375
139,1602.862548828125
140,1446.9141845703125
141,1442.837890625
142,1466.331298828125
143,1460.8414306640625
144,1584.5931396484375
145,1354.3895263671875
146,1579.8590087890625
147,1501.669921875
148,1502.7396240234375
149,1502.455078125
150,1352.6580810546875
151,1446.9534912109375
152,1307.1590576171875
153,1460.487548828125
154,1498.1846923828125
155,1533.6527099609375
156,1444.0421142578125
157,1384.8448486328125
158,1487.80419921875
159,1448.8494873046875
160,1491.884033203125
161,1339.15771484375
162,1468.1422119140625
